state,electorate,postcode,population,total_postcode_proportion,proportion
SA,Adelaide,5025,658,6276,0.1,Inner Metropolitan
SA,Adelaide,5032,844,9157,0.09,Inner Metropolitan
SA,Adelaide,5038,1720,10818,0.16,Inner Metropolitan
SA,Adelaide,5035,2591,4252,0.61,Inner Metropolitan
SA,Adelaide,5009,2657,3712,0.72,Inner Metropolitan
SA,Adelaide,5037,3550,7345,0.48,Inner Metropolitan
SA,Adelaide,5010,3588,3588,1,Inner Metropolitan
SA,Adelaide,5086,3616,10715,0.34,Inner Metropolitan
SA,Adelaide,5012,3884,6594,0.59,Inner Metropolitan
SA,Adelaide,5034,4147,7228,0.57,Inner Metropolitan
SA,Adelaide,5006,4645,4645,1,Inner Metropolitan
SA,Adelaide,5033,4969,5658,0.88,Inner Metropolitan
SA,Adelaide,5007,5203,5203,1,Inner Metropolitan
SA,Adelaide,5083,5338,5338,1,Inner Metropolitan
SA,Adelaide,5084,5896,5896,1,Inner Metropolitan
SA,Adelaide,5063,6488,8694,0.75,Inner Metropolitan
SA,Adelaide,5081,6777,6777,1,Inner Metropolitan
SA,Adelaide,5000,6958,6958,1,Inner Metropolitan
SA,Adelaide,5031,7237,7237,1,Inner Metropolitan
SA,Adelaide,5061,7339,7339,1,Inner Metropolitan
SA,Adelaide,5008,9533,9533,1,Inner Metropolitan
SA,Adelaide,5082,10583,10583,1,Inner Metropolitan
SA,Adelaide,5085,11572,12099,0.96,Inner Metropolitan
VIC,Aston,3154,3135,3135,1,Outer Metropolitan
VIC,Aston,3179,4791,4791,1,Outer Metropolitan
VIC,Aston,3180,5349,5349,1,Outer Metropolitan
VIC,Aston,3153,8173,14297,0.57,Outer Metropolitan
VIC,Aston,3155,15633,15633,1,Outer Metropolitan
VIC,Aston,3152,22414,22414,1,Outer Metropolitan
VIC,Aston,3178,24693,24693,1,Outer Metropolitan
VIC,Aston,3156,25217,26506,0.95,Outer Metropolitan
VIC,Ballarat,3351,268,6028,0.04,Provincial
VIC,Ballarat,3334,388,388,1,Provincial
VIC,Ballarat,3345,1022,1022,1,Provincial
VIC,Ballarat,3341,1218,1218,1,Provincial
VIC,Ballarat,3370,1363,1363,1,Provincial
VIC,Ballarat,3458,1516,1516,1,Provincial
VIC,Ballarat,3364,1592,1592,1,Provincial
VIC,Ballarat,3460,2221,2221,1,Provincial
VIC,Ballarat,3342,2590,2590,1,Provincial
VIC,Ballarat,3357,2629,2629,1,Provincial
VIC,Ballarat,3363,2654,2654,1,Provincial
VIC,Ballarat,3461,3260,3260,1,Provincial
VIC,Ballarat,3355,9480,9480,1,Provincial
VIC,Ballarat,3352,10034,12527,0.8,Provincial
VIC,Ballarat,3356,11965,11965,1,Provincial
VIC,Ballarat,3340,15234,15426,0.99,Provincial
VIC,Ballarat,3350,42781,42781,1,Provincial
NSW,Banks,2196,3,19318,0,Inner Metropolitan
NSW,Banks,2220,5334,16547,0.32,Inner Metropolitan
NSW,Banks,2209,5897,10291,0.57,Inner Metropolitan
NSW,Banks,2221,6340.5,11667,0.54,Inner Metropolitan
NSW,Banks,2218,6491,9951,0.65,Inner Metropolitan
NSW,Banks,2222,7762,7762,1,Inner Metropolitan
NSW,Banks,2212,9506,10371,0.92,Inner Metropolitan
NSW,Banks,2211,11679,12098,0.97,Inner Metropolitan
NSW,Banks,2223,14685,14685,1,Inner Metropolitan
NSW,Banks,2213,15253,15253,1,Inner Metropolitan
NSW,Banks,2210,19686,20337,0.97,Inner Metropolitan
SA,Barker,5440,18,304,0.06,Rural
SA,Barker,5237,46,46,1,Rural
SA,Barker,5332,125,125,1,Rural
SA,Barker,5309,142,142,1,Rural
SA,Barker,5308,151,151,1,Rural
SA,Barker,5269,154,154,1,Rural
SA,Barker,5321,183,183,1,Rural
SA,Barker,5266,183,183,1,Rural
SA,Barker,5371,184,950,0.19,Rural
SA,Barker,5279,219,219,1,Rural
SA,Barker,5261,228,228,1,Rural
SA,Barker,5303,246,246,1,Rural
SA,Barker,5263,249,249,1,Rural
SA,Barker,5346,267,267,1,Rural
SA,Barker,5301,319,319,1,Rural
SA,Barker,5354,326,326,1,Rural
SA,Barker,5350,341,341,1,Rural
SA,Barker,5304,367,367,1,Rural
SA,Barker,5278,372,372,1,Rural
SA,Barker,5331,380,380,1,Rural
SA,Barker,5311,392,392,1,Rural
SA,Barker,5236,394,394,1,Rural
SA,Barker,5262,396,396,1,Rural
SA,Barker,5307,419,419,1,Rural
SA,Barker,5259,457,457,1,Rural
SA,Barker,5357,473,473,1,Rural
SA,Barker,5356,485,485,1,Rural
SA,Barker,5320,489,489,1,Rural
SA,Barker,5265,491,491,1,Rural
SA,Barker,5302,577,577,1,Rural
SA,Barker,5344,602,602,1,Rural
SA,Barker,5270,665,665,1,Rural
SA,Barker,5272,696,696,1,Rural
SA,Barker,5322,699,699,1,Rural
SA,Barker,5342,792,792,1,Rural
SA,Barker,5360,847,847,1,Rural
SA,Barker,5340,927,927,1,Rural
SA,Barker,5264,1029,1029,1,Rural
SA,Barker,5276,1072,1072,1,Rural
SA,Barker,5260,1333,1333,1,Rural
SA,Barker,5235,1369,1369,1,Rural
SA,Barker,5372,1459,1459,1,Rural
SA,Barker,5254,1544,1686,0.92,Rural
SA,Barker,5267,1558,1558,1,Rural
SA,Barker,5275,1774,1774,1,Rural
SA,Barker,5277,1780,1780,1,Rural
SA,Barker,5268,2035,2035,1,Rural
SA,Barker,5330,2209,2209,1,Rural
SA,Barker,5345,2437,2437,1,Rural
SA,Barker,5373,2488,2488,1,Rural
SA,Barker,5353,2963,2963,1,Rural
SA,Barker,5238,3144,3144,1,Rural
SA,Barker,5343,3500,3500,1,Rural
SA,Barker,5352,3891,3891,1,Rural
SA,Barker,5351,4151,4151,1,Rural
SA,Barker,5333,4222,4222,1,Rural
SA,Barker,5271,4757,4757,1,Rural
SA,Barker,5341,5212,5212,1,Rural
SA,Barker,5280,5577,5577,1,Rural
SA,Barker,5355,5856,5856,1,Rural
SA,Barker,5291,6072,6072,1,Rural
SA,Barker,5253,12788,12788,1,Rural
SA,Barker,5290,18871,18871,1,Rural
NSW,Barton,2192,492.5,8212,0.06,Inner Metropolitan
NSW,Barton,2203,575,9265,0.06,Inner Metropolitan
NSW,Barton,2194,1535,11941,0.13,Inner Metropolitan
NSW,Barton,2044,2506,5628,0.45,Inner Metropolitan
NSW,Barton,2209,2560,10291,0.25,Inner Metropolitan
NSW,Barton,2193,3044,9985,0.3,Inner Metropolitan
NSW,Barton,2218,3460,9951,0.35,Inner Metropolitan
NSW,Barton,2217,5556,15912,0.35,Inner Metropolitan
NSW,Barton,2208,7119,8590,0.83,Inner Metropolitan
NSW,Barton,2204,7130,18368,0.39,Inner Metropolitan
NSW,Barton,2205,8819,8819,1,Inner Metropolitan
NSW,Barton,2220,11213,16547,0.68,Inner Metropolitan
NSW,Barton,2206,14158,14158,1,Inner Metropolitan
NSW,Barton,2216,16658,16658,1,Inner Metropolitan
NSW,Barton,2207,18783,18783,1,Inner Metropolitan
TAS,Bass,7257,41,41,1,Provincial
TAS,Bass,7261,141,141,1,Provincial
TAS,Bass,7265,189,189,1,Provincial
TAS,Bass,7212,238,1384,0.17,Provincial
TAS,Bass,7259,340,340,1,Provincial
TAS,Bass,7254,346,346,1,Provincial
TAS,Bass,7276,412,412,1,Provincial
TAS,Bass,7264,508,517,0.98,Provincial
TAS,Bass,7263,508,508,1,Provincial
TAS,Bass,7258,523,768,0.68,Provincial
TAS,Bass,7255,641,641,1,Provincial
TAS,Bass,7267,683,683,1,Provincial
TAS,Bass,7268,801,801,1,Provincial
TAS,Bass,7262,1413,1413,1,Provincial
TAS,Bass,7252,1881,1881,1,Provincial
TAS,Bass,7275,2201,2325,0.95,Provincial
TAS,Bass,7260,2398,2398,1,Provincial
TAS,Bass,7270,3308,3308,1,Provincial
TAS,Bass,7253,3745,3745,1,Provincial
TAS,Bass,7277,4284,4284,1,Provincial
TAS,Bass,7249,9226,9226,1,Provincial
TAS,Bass,7248,10155,10155,1,Provincial
TAS,Bass,7250,30331,35539,0.85,Provincial
VIC,Cooper,3086,149,149,1,Inner Metropolitan
VIC,Cooper,3085,1604,9719,0.17,Inner Metropolitan
VIC,Cooper,3058,2875,24462,0.12,Inner Metropolitan
VIC,Cooper,3068,3672,14684,0.25,Inner Metropolitan
VIC,Cooper,3083,4118,19431,0.21,Inner Metropolitan
VIC,Cooper,3078,8495,8495,1,Inner Metropolitan
VIC,Cooper,3071,13684,13684,1,Inner Metropolitan
VIC,Cooper,3070,18890,18890,1,Inner Metropolitan
VIC,Cooper,3072,22568,22568,1,Inner Metropolitan
VIC,Cooper,3073,32993,32993,1,Inner Metropolitan
VIC,Bendigo,3435,96,2250,0.04,Provincial
VIC,Bendigo,3522,108,337,0.32,Provincial
VIC,Bendigo,3516,121,580,0.21,Provincial
VIC,Bendigo,3447,371,371,1,Provincial
VIC,Bendigo,3570,428,456,0.94,Provincial
VIC,Bendigo,3557,475,475,1,Provincial
VIC,Bendigo,3446,511,511,1,Provincial
VIC,Bendigo,3448,541,541,1,Provincial
VIC,Bendigo,3558,759,786,0.97,Provincial
VIC,Bendigo,3462,869,881,0.99,Provincial
VIC,Bendigo,3515,971,971,1,Provincial
VIC,Bendigo,3453,1344,1344,1,Provincial
VIC,Bendigo,3463,2334,2406,0.97,Provincial
VIC,Bendigo,3523,2979,2979,1,Provincial
VIC,Bendigo,3451,3750,3750,1,Provincial
VIC,Bendigo,3450,5490,5490,1,Provincial
VIC,Bendigo,3442,5594,5839,0.96,Provincial
VIC,Bendigo,3444,6954,6954,1,Provincial
VIC,Bendigo,3556,9601,9640,1,Provincial
VIC,Bendigo,3555,14696,14696,1,Provincial
VIC,Bendigo,3551,20871,21693,0.96,Provincial
VIC,Bendigo,3550,29706,29706,1,Provincial
NSW,Bennelong,2117,206,13133,0.02,Inner Metropolitan
NSW,Bennelong,2067,257,13653,0.02,Inner Metropolitan
NSW,Bennelong,2109,686,686,1,Inner Metropolitan
NSW,Bennelong,2119,1915,8329,0.23,Inner Metropolitan
NSW,Bennelong,2118,4132,15148,0.27,Inner Metropolitan
NSW,Bennelong,2115,6362,6624,0.96,Inner Metropolitan
NSW,Bennelong,2111,7484,10086,0.74,Inner Metropolitan
NSW,Bennelong,2113,11407,11407,1,Inner Metropolitan
NSW,Bennelong,2114,14268,14268,1,Inner Metropolitan
NSW,Bennelong,2121,17664,17664,1,Inner Metropolitan
NSW,Bennelong,2122,18437,18437,1,Inner Metropolitan
NSW,Bennelong,2112,19875,19875,1,Inner Metropolitan
NSW,Berowra,2765,224,10456,0.02,Outer Metropolitan
NSW,Berowra,2775,254,1056,0.24,Outer Metropolitan
NSW,Berowra,2083,831,1140,0.73,Outer Metropolitan
NSW,Berowra,2756,1122,22726,0.05,Outer Metropolitan
NSW,Berowra,2080,1203,1203,1,Outer Metropolitan
NSW,Berowra,2118,2152,15148,0.14,Outer Metropolitan
NSW,Berowra,2076,2295,16661,0.14,Outer Metropolitan
NSW,Berowra,2157,2706,2706,1,Outer Metropolitan
NSW,Berowra,2159,3560,3560,1,Outer Metropolitan
NSW,Berowra,2081,3721,3721,1,Outer Metropolitan
NSW,Berowra,2154,4030,27218,0.15,Outer Metropolitan
NSW,Berowra,2082,4071,4071,1,Outer Metropolitan
NSW,Berowra,2079,4952,5081,0.97,Outer Metropolitan
NSW,Berowra,2158,6249,6249,1,Outer Metropolitan
NSW,Berowra,2119,6414,8329,0.77,Outer Metropolitan
NSW,Berowra,2156,9382.5,9722,0.97,Outer Metropolitan
NSW,Berowra,2125,10424,12304,0.85,Outer Metropolitan
NSW,Berowra,2077,11855,22310,0.53,Outer Metropolitan
NSW,Berowra,2126,13477,13477,1,Outer Metropolitan
NSW,Berowra,2120,14194,14194,1,Outer Metropolitan
QLD,Blair,4352,2,19894,0,Provincial
QLD,Blair,4342,6,1521,0,Provincial
QLD,Blair,4514,368,4196,0.09,Provincial
QLD,Blair,4346,387,387,1,Provincial
QLD,Blair,4124,575,12871,0.04,Provincial
QLD,Blair,4313,1378,1378,1,Provincial
QLD,Blair,4300,2133,31621,0.07,Provincial
QLD,Blair,4303,2289,2289,1,Provincial
QLD,Blair,4515,2378,2378,1,Provincial
QLD,Blair,4312,2458,2458,1,Provincial
QLD,Blair,4340,3686,4245,0.87,Provincial
QLD,Blair,4311,5777,6749,0.86,Provincial
QLD,Blair,4301,7807,14329,0.54,Provincial
QLD,Blair,4304,11421,11421,1,Provincial
QLD,Blair,4306,22082,24310,0.91,Provincial
QLD,Blair,4305,41459,41459,1,Provincial
NSW,Blaxland,2190,4,16277,0,Inner Metropolitan
NSW,Blaxland,2160,98.5,20893,0,Inner Metropolitan
NSW,Blaxland,2211,418,12098,0.03,Inner Metropolitan
NSW,Blaxland,2212,865,10371,0.08,Inner Metropolitan
NSW,Blaxland,2142,1675,13063,0.13,Inner Metropolitan
NSW,Blaxland,2163,2240,5417,0.41,Inner Metropolitan
NSW,Blaxland,2214,2947,2947,1,Inner Metropolitan
NSW,Blaxland,2161,4162,17852,0.23,Inner Metropolitan
NSW,Blaxland,2143,5003,5003,1,Inner Metropolitan
NSW,Blaxland,2197,5740,5740,1,Inner Metropolitan
NSW,Blaxland,2198,6087,6087,1,Inner Metropolitan
NSW,Blaxland,2141,8254,16005,0.52,Inner Metropolitan
NSW,Blaxland,2199,10707,10707,1,Inner Metropolitan
NSW,Blaxland,2162,11497,11497,1,Inner Metropolitan
NSW,Blaxland,2144,17800,17899,0.99,Inner Metropolitan
NSW,Blaxland,2200,23067,24894,0.93,Inner Metropolitan
QLD,Bonner,4170,118,16966,0.01,Outer Metropolitan
QLD,Bonner,4025,153,153,1,Outer Metropolitan
QLD,Bonner,4157,286,13732,0.02,Outer Metropolitan
QLD,Bonner,4155,799,799,1,Outer Metropolitan
QLD,Bonner,4172,1562,2671,0.58,Outer Metropolitan
QLD,Bonner,4174,1746,1746,1,Outer Metropolitan
QLD,Bonner,4123,1780,12181,0.15,Outer Metropolitan
QLD,Bonner,4113,1920,15779,0.12,Outer Metropolitan
QLD,Bonner,4156,2171,2171,1,Outer Metropolitan
QLD,Bonner,4121,2867,17607,0.16,Outer Metropolitan
QLD,Bonner,4153,3181,3181,1,Outer Metropolitan
QLD,Bonner,4173,5972,5972,1,Outer Metropolitan
QLD,Bonner,4154,6320,6320,1,Outer Metropolitan
QLD,Bonner,4179,13352,13352,1,Outer Metropolitan
QLD,Bonner,4152,14098,31672,0.45,Outer Metropolitan
QLD,Bonner,4178,16962,16962,1,Outer Metropolitan
QLD,Bonner,4122,27483,28886,0.95,Outer Metropolitan
SA,Boothby,5158,64,18205,0,Outer Metropolitan
SA,Boothby,5064,779,7284,0.11,Outer Metropolitan
SA,Boothby,5037,1248,7345,0.17,Outer Metropolitan
SA,Boothby,5035,1661,4252,0.39,Outer Metropolitan
SA,Boothby,5034,3081,7228,0.43,Outer Metropolitan
SA,Boothby,5051,3317,10643,0.31,Outer Metropolitan
SA,Boothby,5050,4364,4364,1,Outer Metropolitan
SA,Boothby,5052,4986,4986,1,Outer Metropolitan
SA,Boothby,5047,5305,5720,0.93,Outer Metropolitan
SA,Boothby,5038,5436,10818,0.5,Outer Metropolitan
SA,Boothby,5039,6322,6322,1,Outer Metropolitan
SA,Boothby,5046,6648,6648,1,Outer Metropolitan
SA,Boothby,5042,7210,7210,1,Outer Metropolitan
SA,Boothby,5049,7468,7468,1,Outer Metropolitan
SA,Boothby,5044,8343,8343,1,Outer Metropolitan
SA,Boothby,5041,9742,9742,1,Outer Metropolitan
SA,Boothby,5048,10856,10856,1,Outer Metropolitan
SA,Boothby,5045,11429,12189,0.94,Outer Metropolitan
SA,Boothby,5062,11434,11434,1,Outer Metropolitan
SA,Boothby,5043,13208,13208,1,Outer Metropolitan
QLD,Bowman,4183,1573,1573,1,Outer Metropolitan
QLD,Bowman,4158,2652,2652,1,Outer Metropolitan
QLD,Bowman,4184,5308,5308,1,Outer Metropolitan
QLD,Bowman,4164,9966,9966,1,Outer Metropolitan
QLD,Bowman,4159,10120,10120,1,Outer Metropolitan
QLD,Bowman,4163,11118,11118,1,Outer Metropolitan
QLD,Bowman,4161,11460,11460,1,Outer Metropolitan
QLD,Bowman,4160,13160,13160,1,Outer Metropolitan
QLD,Bowman,4157,13446,13732,0.98,Outer Metropolitan
QLD,Bowman,4165,25438,25438,1,Outer Metropolitan
TAS,Braddon,7331,402,402,1,Rural
TAS,Braddon,7468,455,455,1,Rural
TAS,Braddon,7470,494,494,1,Rural
TAS,Braddon,7469,631,631,1,Rural
TAS,Braddon,7256,1128,1128,1,Rural
TAS,Braddon,7467,1294,1294,1,Rural
TAS,Braddon,7322,2986,2986,1,Rural
TAS,Braddon,7321,3461,3461,1,Rural
TAS,Braddon,7330,4567,4567,1,Rural
TAS,Braddon,7316,4648,4648,1,Rural
TAS,Braddon,7325,6704,6704,1,Rural
TAS,Braddon,7307,7869,7869,1,Rural
TAS,Braddon,7315,11186,11186,1,Rural
TAS,Braddon,7320,12097,12097,1,Rural
TAS,Braddon,7310,19800,20482,0.97,Rural
NSW,Bradfield,2079,129,5081,0.03,Inner Metropolitan
NSW,Bradfield,2072,4788,4788,1,Inner Metropolitan
NSW,Bradfield,2067,5695.5,13653,0.42,Inner Metropolitan
NSW,Bradfield,2070,8675,8675,1,Inner Metropolitan
NSW,Bradfield,2071,8864,8864,1,Inner Metropolitan
NSW,Bradfield,2069,9371,9539,0.98,Inner Metropolitan
NSW,Bradfield,2077,10455,22310,0.47,Inner Metropolitan
NSW,Bradfield,2073,11016,11016,1,Inner Metropolitan
NSW,Bradfield,2075,13970,13970,1,Inner Metropolitan
NSW,Bradfield,2076,14366,16661,0.86,Inner Metropolitan
NSW,Bradfield,2074,15638,15638,1,Inner Metropolitan
WA,Brand,6182,1,1,1,Outer Metropolitan
WA,Brand,6165,77,77,1,Outer Metropolitan
WA,Brand,6176,491,491,1,Outer Metropolitan
WA,Brand,6174,1636,1636,1,Outer Metropolitan
WA,Brand,6175,1972,1972,1,Outer Metropolitan
WA,Brand,6170,4666,4666,1,Outer Metropolitan
WA,Brand,6173,6239,6239,1,Outer Metropolitan
WA,Brand,6172,8139,8139,1,Outer Metropolitan
WA,Brand,6171,13264,13264,1,Outer Metropolitan
WA,Brand,6167,14089,14089,1,Outer Metropolitan
WA,Brand,6168,16371,16371,1,Outer Metropolitan
WA,Brand,6169,23148,23148,1,Outer Metropolitan
QLD,Brisbane,4008,1,210,0,Inner Metropolitan
QLD,Brisbane,4009,357,358,1,Inner Metropolitan
QLD,Brisbane,4053,1159,31668,0.04,Inner Metropolitan
QLD,Brisbane,4065,1589,6966,0.23,Inner Metropolitan
QLD,Brisbane,4010,1696,1696,1,Inner Metropolitan
QLD,Brisbane,4031,2990,9442,0.32,Inner Metropolitan
QLD,Brisbane,4060,6863,9420,0.73,Inner Metropolitan
QLD,Brisbane,4000,7381,7381,1,Inner Metropolitan
QLD,Brisbane,4064,7543,7920,0.95,Inner Metropolitan
QLD,Brisbane,4059,8087,8087,1,Inner Metropolitan
QLD,Brisbane,4007,8470,8470,1,Inner Metropolitan
QLD,Brisbane,4005,8899,8899,1,Inner Metropolitan
QLD,Brisbane,4011,10717,10717,1,Inner Metropolitan
QLD,Brisbane,4030,11419,11419,1,Inner Metropolitan
QLD,Brisbane,4006,12762,12762,1,Inner Metropolitan
QLD,Brisbane,4051,15890,19178,0.83,Inner Metropolitan
VIC,Bruce,3156,685,26506,0.03,Outer Metropolitan
VIC,Bruce,3804,2873,5511,0.52,Outer Metropolitan
VIC,Bruce,3172,5361,15911,0.34,Outer Metropolitan
VIC,Bruce,3171,5901,11827,0.5,Outer Metropolitan
VIC,Bruce,3177,6350,6350,1,Outer Metropolitan
VIC,Bruce,3803,6807,6807,1,Outer Metropolitan
VIC,Bruce,3173,8191,16896,0.48,Outer Metropolitan
VIC,Bruce,3805,8840,36265,0.24,Outer Metropolitan
VIC,Bruce,3802,16952,16952,1,Outer Metropolitan
VIC,Bruce,3174,22555,22555,1,Outer Metropolitan
VIC,Bruce,3175,24905,29556,0.84,Outer Metropolitan
NSW,Calare,2785,3,3331,0,Rural
NSW,Calare,2870,77,8317,0.01,Rural
NSW,Calare,2786,79,755,0.1,Rural
NSW,Calare,2797,172,172,1,Rural
NSW,Calare,2846,264,264,1,Rural
NSW,Calare,2830,265.5,26556,0.01,Rural
NSW,Calare,2831,319,2625,0.12,Rural
NSW,Calare,2868,344,344,1,Rural
NSW,Calare,2792,360,362,0.99,Rural
NSW,Calare,2867,434,434,1,Rural
NSW,Calare,2791,477,477,1,Rural
NSW,Calare,2865,503,503,1,Rural
NSW,Calare,2806,572,722,0.79,Rural
NSW,Calare,2864,890,890,1,Rural
NSW,Calare,2848,1241,1241,1,Rural
NSW,Calare,2849,1261,1261,1,Rural
NSW,Calare,2845,1398,1398,1,Rural
NSW,Calare,2798,1704,1704,1,Rural
NSW,Calare,2804,1722,1907,0.9,Rural
NSW,Calare,2847,1734,1734,1,Rural
NSW,Calare,2866,2051,2051,1,Rural
NSW,Calare,2852,2354,2354,1,Rural
NSW,Calare,2799,2687,2710,0.99,Rural
NSW,Calare,2787,2935,2951,0.99,Rural
NSW,Calare,2820,5120,5211,0.98,Rural
NSW,Calare,2790,10373,10373,1,Rural
NSW,Calare,2850,11622.5,11706,0.99,Rural
NSW,Calare,2795,27867,27867,1,Rural
NSW,Calare,2800,29152,29152,1,Rural
VIC,Calwell,3062,6,6,1,Outer Metropolitan
VIC,Calwell,3045,56,56,1,Outer Metropolitan
VIC,Calwell,3042,2050,11916,0.17,Outer Metropolitan
VIC,Calwell,3061,3411,3411,1,Outer Metropolitan
VIC,Calwell,3063,5939,5939,1,Outer Metropolitan
VIC,Calwell,3049,6851,6851,1,Outer Metropolitan
VIC,Calwell,3059,8911,8911,1,Outer Metropolitan
VIC,Calwell,3043,10832,12948,0.84,Outer Metropolitan
VIC,Calwell,3048,11302,11302,1,Outer Metropolitan
VIC,Calwell,3047,11618,11618,1,Outer Metropolitan
VIC,Calwell,3064,39778,39778,1,Outer Metropolitan
ACT,Bean,2620,57,274,0.21,Inner Metropolitan
ACT,Bean,2609,235,566,0.42,Inner Metropolitan
ACT,Bean,2900,1374,1374,1,Inner Metropolitan
ACT,Bean,2606,4368,6441,0.68,Inner Metropolitan
ACT,Bean,2903,7154,7154,1,Inner Metropolitan
ACT,Bean,2904,10142,10142,1,Inner Metropolitan
ACT,Bean,2607,10350,10350,1,Inner Metropolitan
ACT,Bean,2902,11558,11558,1,Inner Metropolitan
ACT,Bean,2906,13291,13291,1,Inner Metropolitan
ACT,Bean,2611,21061,21061,1,Inner Metropolitan
ACT,Bean,2905,21471,21471,1,Inner Metropolitan
WA,Canning,6126,178,178,1,Outer Metropolitan
WA,Canning,6214,254,254,1,Outer Metropolitan
WA,Canning,6181,355,355,1,Outer Metropolitan
WA,Canning,6213,491,491,1,Outer Metropolitan
WA,Canning,6109,498,6762,0.07,Outer Metropolitan
WA,Canning,6076,748,16182,0.05,Outer Metropolitan
WA,Canning,6124,771,771,1,Outer Metropolitan
WA,Canning,6207,795,795,1,Outer Metropolitan
WA,Canning,6110,867,22934,0.04,Outer Metropolitan
WA,Canning,6123,992,992,1,Outer Metropolitan
WA,Canning,6390,1109,1109,1,Outer Metropolitan
WA,Canning,6209,1457,1457,1,Outer Metropolitan
WA,Canning,6125,1987,1987,1,Outer Metropolitan
WA,Canning,6121,2032,2032,1,Outer Metropolitan
WA,Canning,6180,2542,2542,1,Outer Metropolitan
WA,Canning,6215,2665,2665,1,Outer Metropolitan
WA,Canning,6112,3366,28638,0.12,Outer Metropolitan
WA,Canning,6211,4261,4261,1,Outer Metropolitan
WA,Canning,6111,5100,15440,0.33,Outer Metropolitan
WA,Canning,6122,7641,7641,1,Outer Metropolitan
WA,Canning,6208,7642,7642,1,Outer Metropolitan
WA,Canning,6210,45132,45132,1,Outer Metropolitan
QLD,Capricornia,4739,242,242,1,Provincial
QLD,Capricornia,4757,278,278,1,Provincial
QLD,Capricornia,4743,283,283,1,Provincial
QLD,Capricornia,4707,296,296,1,Provincial
QLD,Capricornia,4756,331,331,1,Provincial
QLD,Capricornia,4705,348,348,1,Provincial
QLD,Capricornia,4742,719,719,1,Provincial
QLD,Capricornia,4738,758,758,1,Provincial
