"postcode","center____001","center____002","center","placeName","electorate","classification"
"0200","","","NULL","NULL","NULL",""
"0221","","","NULL","NULL","NULL",""
"0800","130.84","-12.46","","0800, Darwin, Northern Territory, Australia","Solomon","Inner Metropolitan"
"0801","","","NULL","NULL","NULL",""
"0803","","","NULL","NULL","NULL",""
"0804","","","NULL","NULL","NULL",""
"0810","130.88","-12.37","","0810, Darwin, Northern Territory, Australia","Solomon","Inner Metropolitan"
"0811","","","NULL","NULL","NULL",""
"0812","130.91","-12.39","","0812, Darwin, Northern Territory, Australia","Solomon","Inner Metropolitan"
"0813","","","NULL","NULL","NULL",""
"0814","","","NULL","NULL","NULL",""
"0815","","","NULL","NULL","NULL",""
"0820","130.83","-12.45","","0820, Darwin, Northern Territory, Australia","Solomon","Inner Metropolitan"
"0821","","","NULL","NULL","NULL",""
"0822","132.535324932287","-13.003885","","0822, Northern Territory, Australia","Lingiari","Rural"
"0828","130.95","-12.44","","0828, Darwin, Northern Territory, Australia","Lingiari","Rural"
"0829","130.97","-12.46","","0829, Darwin, Northern Territory, Australia","Solomon","Inner Metropolitan"
"0830","130.98","-12.48","","0830, Darwin, Northern Territory, Australia","Solomon","Inner Metropolitan"
"0831","","","NULL","NULL","NULL",""
"0832","130.99","-12.5","","0832, Darwin, Northern Territory, Australia","Solomon","Inner Metropolitan"
"0834","131.019168","-12.541553","","0834, Northern Territory, Australia","Lingiari","Rural"
"0835","131.066351","-12.467974","","0835, Northern Territory, Australia","Lingiari","Rural"
"0836","131.1","-12.55","","0836, Northern Territory, Australia","Lingiari","Rural"
"0837","131.176196","-12.813965","","0837, Northern Territory, Australia","Lingiari","Rural"
"0838","130.98","-12.73","","0838, Northern Territory, Australia","Lingiari","Rural"
"0839","131.039027","-12.517583","","0839, Northern Territory, Australia","Lingiari","Rural"
"0840","130.434928","-12.727541","","0840, Northern Territory, Australia","Lingiari","Rural"
"0841","130.964006","-12.823004","","0841, Northern Territory, Australia","Lingiari","Rural"
"0845","131.03","-13.05","","0845, Batchelor, Northern Territory, Australia","Lingiari","Rural"
"0846","131.1","-13.24","","0846, Adelaide River, Northern Territory, Australia","Lingiari","Rural"
"0847","131.83","-13.83","","0847, Pine Creek, Northern Territory, Australia","Lingiari","Rural"
"0850","132.26","-14.47","","0850, Katherine, Northern Territory, Australia","Lingiari","Rural"
"0851","","","NULL","NULL","NULL",""
"0852","131.294391710911","-17.05924","","0852, Northern Territory, Australia","Lingiari","Rural"
"0853","132.4","-14.51","","0853, Northern Territory, Australia","Lingiari","Rural"
"0854","136.309874","-16.06699","","0854, Borroloola, Northern Territory, Australia","Lingiari","Rural"
"0860","134.19","-19.65","","0860, Tennant Creek, Northern Territory, Australia","Lingiari","Rural"
"0861","","","NULL","NULL","NULL",""
