postcode,locality,state,long,lat,dc,type
200,ANU,ACT,0,0,,
221,BARTON,ACT,0,0,,
800,DARWIN,NT,130.83668,-12.458684,,
801,DARWIN,NT,0,0,,
803,"WAGAIT BEACH""""",NT,0,0,,
804,PARAP,NT,0,0,,
810,ALAWA,NT,130.866242,-12.381806,,
811,CASUARINA,NT,0,0,,
812,ANULA,NT,130.916098,-12.404778,,
813,SANDERSON,NT,0,0,,
814,NIGHTCLIFF,NT,0,0,,
815,CHARLES DARWIN UNIVERSITY,NT,0,0,,
820,BAGOT,NT,130.873315,-12.428017,,
821,WINNELLIE,NT,0,0,,
822,ACACIA HILLS,NT,136.947051,-13.643283,,
828,BERRIMAH,NT,130.932068,-12.432024,,
829,PINELANDS,NT,0,0,,
830,ARCHER,NT,130.974879,-12.475071,,
831,PALMERSTON,NT,0,0,,
832,BAKEWELL,NT,130.957712,-12.502817,,
834,VIRGINIA,NT,131.0191,-12.5413,,
835,HOWARD SPRINGS,NT,131.013741,-12.452568,,
836,HERBERT,NT,131.100668,-12.557754,,
837,MANTON,NT,131.016647,-12.704767,,
838,BERRY SPRINGS,NT,0,0,,
839,COOLALINGA,NT,131.0418,-12.5212,,
840,DUNDEE BEACH,NT,0,0,,
841,DARWIN RIVER,NT,0,0,,
845,BATCHELOR,NT,131.038475,-13.045118,,
846,ADELAIDE RIVER,NT,131.095002,-13.210299,,
847,PINE CREEK,NT,131.759154,-14.012122,,
850,KATHERINE,NT,132.365352,-14.195911,,
851,KATHERINE,NT,0,0,,
852,BARUNGA,NT,137.050719,-15.711424,,
853,TINDAL RAAF,NT,132.417121,-14.558122,,
854,BORROLOOLA,NT,136.424191,-16.503809,,
860,TENNANT CREEK,NT,134.173599,-19.641301,,
861,BRUNCHILLY,NT,0,0,,
862,AVON DOWNS,NT,134.463153,-18.251528,,
870,ALICE SPRINGS,NT,133.86314,-23.702291,,
871,ALICE SPRINGS,NT,0,0,,
872,AHERRENGE,NT,131.298809,-21.949513,,
873,"HEAVITREE GAP CPA""""",NT,0,0,,
874,"MOUNT JOHNS""""",NT,133.9056,-23.723,,
875,FLYNN,NT,133.833,-23.7119,,
880,GAPUWIYAK,NT,136.824863,-11.670366,,
881,NHULUNBUY,NT,0,0,,
885,ALYANGULA,NT,136.635978,-13.811378,,
886,JABIRU,NT,132.563373,-13.13118,,
906,WINNELLIE,NT,0,0,,
907,WINNELLIE,NT,0,0,,
909,CHARLES DARWIN UNIVERSITY,NT,0,0,,
1001,SYDNEY,NSW,0,0,EAST SUBS MC,LVR
1002,SYDNEY,NSW,0,0,EAST SUBS MC,LVR
1003,SYDNEY,NSW,0,0,EAST SUBS MC,LVR
1004,SYDNEY,NSW,0,0,EAST SUBS MC,LVR
1005,SYDNEY,NSW,0,0,GPO BOX CENTRE,LVR
1006,SYDNEY,NSW,0,0,GPO BOX CENTRE,LVR
1007,SYDNEY,NSW,0,0,GPO BOX CENTRE,LVR
1008,SYDNEY,NSW,0,0,GPO BOX CENTRE,LVR
1009,SYDNEY,NSW,0,0,EAST SUBS MC,LVR
1010,SYDNEY,NSW,0,0,EAST SUBS MC,LVR
1011,SYDNEY,NSW,0,0,SYDNEY WEST LETTERS FACILITY,LVR
1020,SYDNEY,NSW,0,0,NULL,LVR
1021,SYDNEY,NSW,0,0,NULL,LVR
1022,SYDNEY,NSW,0,0,SYDNEY GPO,LVR
1023,SYDNEY,NSW,0,0,NULL,LVR
1025,SYDNEY,NSW,0,0,NULL,LVR
1026,SYDNEY,NSW,0,0,NULL,LVR
1027,SYDNEY,NSW,0,0,NULL,LVR
1028,SYDNEY,NSW,0,0,GPO BOX CENTRE,LVR
1029,SYDNEY,NSW,0,0,NULL,LVR
1030,SYDNEY,NSW,0,0,NULL,LVR
1031,SYDNEY,NSW,0,0,NULL,LVR
1032,SYDNEY,NSW,0,0,NULL,LVR
1033,SYDNEY,NSW,0,0,NULL,LVR
1034,SYDNEY,NSW,0,0,NULL,LVR
1035,SYDNEY,NSW,0,0,NULL,LVR
1036,SYDNEY,NSW,0,0,NULL,LVR
1037,SYDNEY,NSW,0,0,NULL,LVR
1038,SYDNEY,NSW,0,0,NULL,LVR
1039,SYDNEY,NSW,0,0,GPO BOX CENTRE,LVR
1040,SYDNEY,NSW,0,0,NULL,LVR
1041,SYDNEY,NSW,0,0,NULL,LVR
1042,SYDNEY,NSW,0,0,NULL,LVR
